municipio,periodo,ocorrencias,ocorrencias_ameaça,ocorrencias_calúnia,ocorrencias_difamação,ocorrencias_estupro,ocorrencias_injúria,ocorrencias_lesão_corporal_grave_ou_gravíssima___dolosa,ocorrencias_lesão_corporal_leve___dolosa,ocorrencias_vias_de_fato,feminicidios,populacao_total,populacao_feminina,alfabetizacao_total,taxa_violencia_100k,taxa_feminicidio_100k,taxa_violencia_mes_anterior,taxa_violencia_3_meses_atras,taxa_violencia_6_meses_atras,houve_violencia_mes_anterior,houve_violencia_3_meses_atras,houve_violencia_6_meses_atras,media_3_meses,media_6_meses,variacao_mensal,variacao_3_meses,variacao_6_meses,feminicidios_mes_anterior,media_feminicidios_3_meses,ano,mes,mes_seno,mes_cosseno,escalada
BRUNOPOLIS,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2489,1240,91.72,0.0,0.0,161.29032258064515,0.0,0.0,1,0,0,134.40860215053763,94.08602150537634,-1.0,,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BRUSQUE,2020-07-01,72.0,39.0,2.0,3.0,0.0,9.0,0.0,15.0,4.0,0.0,141385,72108,98.15,99.8502246630055,0.0,108.17107671825595,94.30298995950518,106.78426804238087,1,1,1,104.47292024925575,104.70405502856825,-0.07692307692307676,0.05882352941176494,-0.06493506493506485,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CACADOR,2020-07-01,79.0,36.0,1.0,5.0,0.0,14.0,0.0,20.0,3.0,0.0,73720,37193,96.42,212.4055601860565,0.0,142.49993278305058,198.96217030086305,188.2074583927083,1,1,1,186.41500640801584,180.14142446159224,0.49056603773584895,0.06756756756756754,0.12857142857142856,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAIBI,2020-07-01,10.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6304,3147,94.71,317.7629488401652,0.0,127.1051795360661,63.55258976803305,31.776294884016526,1,1,1,63.55258976803305,63.552589768033044,1.4999999999999996,3.999999999999999,8.999999999999998,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CALMON,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443,1637,90.9,0.0,0.0,61.087354917532075,61.087354917532075,305.43677458766035,1,1,1,122.17470983506415,122.17470983506415,-1.0,-1.0,-1.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
CAMBORIU,2020-07-01,61.0,27.0,1.0,4.0,0.0,9.0,0.0,18.0,2.0,1.0,103074,52212,97.85,116.83137975944229,1.9152685206465947,78.52600934651038,61.28859266069103,172.37416685819352,1,1,1,87.46392910952783,115.87374549911898,0.4878048780487807,0.9062500000000002,-0.3222222222222222,0.0,0.3333333333333333,2020,7,-0.4999999999999997,-0.8660254037844388,1
CAMPO ALEGRE,2020-07-01,6.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,12501,6265,96.76,95.77015163607342,0.0,31.923383878691137,79.80845969672785,223.46368715083798,1,1,1,63.84676775738228,109.07156158552806,2.0000000000000004,0.19999999999999996,-0.5714285714285714,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAMPO BELO DO SUL,2020-07-01,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7257,3505,89.63,57.06134094151213,0.0,142.65335235378032,28.530670470756064,228.2453637660485,1,1,1,85.59201141226818,133.1431288635283,-0.6,1.0,-0.75,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAMPO ERE,2020-07-01,6.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,9623,4781,91.47,125.49675800041832,0.0,83.66450533361223,83.66450533361223,167.32901066722445,1,1,1,97.60858955588093,163.84298961165726,0.4999999999999998,0.4999999999999998,-0.2500000000000001,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAMPOS NOVOS,2020-07-01,19.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,36932,18559,95.95,102.37620561452665,0.0,102.37620561452665,53.88221348132981,156.25841909585645,1,1,1,75.43509887386175,102.37620561452665,0.0,0.9000000000000001,-0.34482758620689646,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
